id,Name
414,Lyran
415,Malpighius
416,loannes
417,Claubergii
418,Scipionis
419,Magnus
420,Hobbius
421,Chiisti
422,Darii
423,Lucanus
424,Marsilius
425,Josue
426,Bellarminus
427,Ereuni
428,Morisanus
429,Raconis
430,D . Dionys
431,Lucifer
432,Isidorus
433,Avicennæ
434,Diui Thomæ
435,Malpighii
436,Varrone
437,Bullialdus
438,M . Epinus
439,S . Paulus
440,Thomistica
441,Alphonsus
442,Torricellius
443,Caium
444,Dauid
445,Athanas
446,Columbus
447,Varenii
448,Harvæus
449,Bauhinus
450,Tychonico
451,Gadius
452,Beda
453,Chrysippus
454,D . Aug
455,Iacob
456,Varignon
457,Julius Scaliger
458,Watsonius
459,Met
460,Tol
461,Chrisi
462,Baro
463,Eratosthenes
464,Trismegistus
465,Anat
466,Leibnitiano
467,Richardus
468,Eustach
469,Theophilus
470,Virginis
471,Fracastorius
472,Pharaonis
473,Ammonius
474,Constantinum
475,Gellio
476,Combacchius
477,Metrodorus
478,Simplicio
479,Regnault
480,Jerem
481,Ruvius
482,Ruvio
483,Clericus
484,Franciscus Piccolomineus
485,Galenici
486,Philip
487,Isaac
488,Derhamus
489,Eusebius
490,Calvinus
491,AMONTONS
492,Deò
493,Smith
494,Bellutus
495,Gregorii
496,Galilaus
497,Heronis
498,Roaltus
499,Anselmus
500,Wolfio
501,Aiist
502,Hallejus
503,Vitruvius
504,Noachi
505,Basilii
506,Jon
507,Scottus
508,Esau
509,Laertio
510,Volder
511,Boẽtius
512,Ovidii
513,Rhodius
514,Balduini
515,Boetius
516,Nevton
517,Saul
518,Fortunius Licetus
519,Andr
520,Deui
521,Mosen
522,Carneades
523,Lych
524,Stephanus
525,Beati
526,Bocardo
527,Hermannus
528,Ontol
529,Veneris
530,Catonis
531,Romulus
532,Auicennæ
533,Quintilianus
534,Andreas
535,Alstedius
536,Aist
537,Aristarchi
538,Gregorianum
539,Torricelliano
540,Tycho Brahe
541,Laurent
542,Kepleriana
543,Iauellus
544,Cleomedes
545,Porph
546,Papa
547,Iohan
548,Boẽtio
549,Helena
550,Magnanus
551,Antonius Andreas
552,Varro
553,Vasques
554,Adæ
555,Xenocrates
556,Regius
557,Antonius Ruvio
558,Strabone
559,Ruuio
560,Jacchæus
561,Ariit
562,Deumque
563,Justinus
564,Comptoni
565,Petronius
566,Hombergius
567,Laurentii
568,Abra de Raconis
569,Clarke
570,VVolfius
571,Angelicus
572,Bannes
573,Anonymus
574,Libavius
575,NEW TONUS
576,Livius
577,Rubius
578,Iosephus
579,Justinianus
580,Campanella
581,Suarex
582,Hugeniana
583,Averr
584,Lychet
585,Libauius
586,Bonaventura
587,Renatus Descartes
588,Hambergerus
589,Lazari
590,Shaw
591,Lothi
592,Palladis
593,D . Scoti
594,Chnisti
595,Lemnius
596,Boylæus
597,Ouidius
598,Hermes
599,P . Kircherus
600,Quercetanus
601,Bayle
602,Dioscor
603,Apostolus
604,Claudianus
605,Matthæi
606,Wolsius
607,Barth
608,Melanchthon
609,Abrahæ
610,Alexandri Magni
611,Arisl
612,Pyrrh
613,Nero
614,Deun
615,Ariaga
616,Boscovichius
617,Zanchius
618,Bassolis
619,Deusingius
620,Alexander Aphrodisæus
621,Ambros
622,Boylio
623,Demosthenes
624,Spinosæ
625,Sturmii
626,Anne
627,Peri
628,Horatii
629,SCHOLION
630,Ferrara
631,Nicolaus Copernicus
632,Porphyrij
633,Isaiæ
634,Deoque
635,Crollius
636,Asphali
637,Thomas Aquinas
638,Riolanus
639,Boetio
640,Dioptr
641,Auersa
642,Eusebium
643,Aristorle
644,Crassus
