Name_Dictionnary;Name;Surename;Cleaned_name;Maiden_name;Date;Discipline;Country;Pages
Charlotte Sophia Queen;Charlotte;Of Mecklenburg-Streiltz;;;1744-1818;Botanist;UK;246
Coade Eleanor;Eleanor;Coade;Coade;;1733-1821;Inventor;UK;274
Colden Jane;Jane;Colden;Colden;;1724-1766;Botanist;USA;280
Cramer Catherine Gertrude Du Tertre Schraders;Catherine;Cramer;Cramer;;1665-1746?;Midwife;NL;299-300
Dalle Donne Maria;Maria;Della Donne;;;1778-1842;Physician;IT;323
De La Marche Marguerite Du Tertre;Marguerite ;La Marche;Marche;;1638-1706;Midwife;FR;341
Delauncy Marguerite de Stael;Marguerite ;De Launay ;Launay;;1693-1750;Anatomist;FR;342
De Staël Holtein Anne Louise Germaine Necker;Anne-Louise ;de Staël;Stael;;1768-1817;Writer;FR;350
Du Châtelet Gabrielle-Emilie Le Tonnelier de Breteuil (Marquise);Emilie;Du Châtelet;Chatelet;;1706-1749;Natural Philosopher;FR;378-80
Du Coudray Angelique (Marguerite Le Boursier);Angélique ;Du Courday;Coudray;;1712-1789;Midwife;FR;381
Edgeworth Maria;Maria;Edgeworth;Edgeworth;;1767-1849;Novelist, Amateur Botanist;Irish;400
Eimmart Manie Claire;Marie;Eimmart;Eimmart;;1676-1707;Astronomer;DE;409
Erxleben Dorothea Christiana (Leporin);Dorothea Christiana;Erxleben;Erxleben;;1715-1762;Physician;DE;425-26
Fiennes Celia;Celia;Fiennes;Fiennes;;1662-1741;Naturalist, Horticulturist, Traveler;UK;445
Finch Louisa (Thynne), Countes of Aylesford;Louisa ;Finch;Finch;;1760-1832;Botanist;UK;446
Frampton Mary;Mary;Frampton;Frampton;;1773-1846;Botanist;UK;464
Galvani Lucia (Galeazzi);Lucia ;Galeazzi Galvani;Galvani;Galeazzi;d. Ca. 1790;Anatomist, Physiologist;IT;481-82
Germain Sophie;Sophie ;Germain;Germain;;1776-1831;Mathematician;FR;496-97
Greene Catherine (Littlefield);Catherine;Greene;Greene;;1755-1814;Inventor;USA;527-28
Griffiths Amelia Warren (Rogen);Amelia ;Griffiths;Griffiths;;1768-1858;Botanist;UK;531
Gsell Maria Dorothea Henrica (Gral);Maria Dorothea;Gsell;Gsell;;1678-1745;Natural Scientist, painter;German, Russian;535
Guyton de Morveau Claudine Poullet Picardet ;Claudine ;Picardet ;Picardet ;;ca. 1770-ca. 1820;Translator of scientific work;FR;539
Hall Agnes C.;Agnes;Hall;Hall;;1777-1846;Botanist;UK;545
Henschel Caroline Lucretia;Caroline Lucretia;Herschel;Herschel;;1750-1848;Astronomer;DE;587-89
Hoare Sarah;Sarah ;Hoare;Hoare;;ca. 1767-1855;Botanist;UK;605
Ibbetson Agnes (Thomson);Agnes;Ibbetson;Ibbetson;;1757-1823;Botanist;UK;641
Jacson Maria Elizabeth;Maria Elizabetha;Jacson;Jacson;;1755-1829;Botanist;UK;651
Kaltenbeiner Victorine;Victorine;Kaltenbeiner;Kaltenbeiner;;fl.1777;Midwife;CH;675
Kirch Christine;Christine;Kirch;Kirch;;ca. 1696-1782;Astronomer;DE;700
Kirch Margaretha;Margaretha;Kirch;Kirch;;b. Ca. 1700;Astronomer;DE;700
Kirch Maria Margaretha (Winkelmann);Maria Margaretha;Kirch;Kirch;;1670-1720;Astronomer;DE;700-701
La Chapelle Marie Loune Dugh.;Marie Louise;Lachapelle;Lachapelle;;1769-1821;Midwife;FR;731
Lalande Marie Jeanne Amélie Harly Letanais de. ;Marie Jeanne Amélie;De Lalande;Lalande;;1760-1832;Astronomer;FR;735-36
Lavoisier Marie Anne Pierrette Paulze;Marie Anne Paulze;Lavoisier;Lavoisier;;1758-1836;Illustrator, Assistant chemist, editor;FR;752-53
Lepaute Nicole-Reine Hortense (Etable de La Brière);Nicole-Reine Hortense ;Lepaute;Lepaute;;1723-1788;Astronomer;FR;772-73
Libert Marie-Anne;Marie Anne;Libert;Libert;;1782-1865;Botanist;BE;789
Logan Martha Daniell;Martha Daniell;Logan;Logan;;1704-1779;Horticulturist;USA;799
Macaulay Catharine (Sawbridge);Catherine ;Macaulay;Macaulay;;1731-1791;Social Scientist;UK;817-18
Manzolini Anna Morandi;Anna;Morandi Manzolini;Manzolini;Morandi;1716-1774;Anatomist;IT;841
Marcet Jane Haldimand;Jane ;Marcet;Marcet;;1769-1858;Natural Philosopher;UK;842-43
Medaglia Diamante;Diamante Medaglia ;Faini;Faini;;fl. 17th century;Mathematician;IT;874
